Source,Target,Type,Id,Label,Weight
0,3163,Directed,0,,1
0,682,Directed,1,,1
1,2537,Directed,2,,1
1,1027,Directed,3,,1
2,2305,Directed,4,,1
3,1896,Directed,5,,1
3,699,Directed,6,,1
3,4126,Directed,7,,1
3,3,Directed,8,,2
3,3014,Directed,9,,1
3,3619,Directed,10,,1
3,2121,Directed,11,,1
3,2423,Directed,12,,1
3,3919,Directed,13,,1
3,804,Directed,14,,1
3,4058,Directed,15,,1
3,2930,Directed,16,,1
3,2015,Directed,17,,1
3,160,Directed,18,,1
3,965,Directed,19,,1
3,604,Directed,20,,1
5,2993,Directed,21,,1
5,3627,Directed,22,,1
5,4565,Directed,23,,2
5,2309,Directed,24,,1
5,726,Directed,25,,1
5,2014,Directed,26,,1
5,272,Directed,27,,1
5,5,Directed,28,,1
5,2864,Directed,29,,1
5,988,Directed,30,,1
5,1180,Directed,31,,1
6,3883,Directed,32,,1
6,1051,Directed,33,,1
6,2747,Directed,34,,1
7,4129,Directed,35,,1
7,4122,Directed,36,,1
7,4452,Directed,37,,3
7,3441,Directed,38,,1
7,337,Directed,39,,1
7,2263,Directed,40,,1
7,2270,Directed,41,,1
7,95,Directed,42,,2
7,959,Directed,43,,1
7,1143,Directed,44,,1
7,3409,Directed,45,,1
7,2965,Directed,46,,1
7,2093,Directed,47,,1
7,1024,Directed,48,,1
7,4442,Directed,49,,1
7,2323,Directed,50,,1
7,1706,Directed,51,,1
7,2730,Directed,52,,1
7,1306,Directed,53,,1
7,3905,Directed,54,,1
7,1826,Directed,55,,1
7,2930,Directed,56,,1
7,1217,Directed,57,,1
7,918,Directed,58,,1
7,3565,Directed,59,,1
7,907,Directed,60,,1
7,3631,Directed,61,,1
7,3757,Directed,62,,1
7,1173,Directed,63,,2
7,4327,Directed,64,,1
7,824,Directed,65,,1
7,299,Directed,66,,1
7,4222,Directed,67,,1
7,2977,Directed,68,,1
7,81,Directed,69,,1
7,1978,Directed,70,,2
7,3619,Directed,71,,1
7,2312,Directed,72,,1
7,176,Directed,73,,1
7,2168,Directed,74,,1
7,3003,Directed,75,,1
7,4193,Directed,76,,1
7,4471,Directed,77,,1
7,1146,Directed,78,,1
7,3198,Directed,79,,1
7,4542,Directed,80,,1
8,455,Directed,81,,1
8,3285,Directed,82,,1
8,4058,Directed,83,,1
8,720,Directed,84,,1
9,2797,Directed,85,,1
9,1044,Directed,86,,1
9,2015,Directed,87,,1
9,1650,Directed,88,,1
9,4488,Directed,89,,1
9,1928,Directed,90,,1
9,3121,Directed,91,,1
10,1767,Directed,92,,1
10,788,Directed,93,,1
11,2797,Directed,94,,2
11,4438,Directed,95,,1
